Data,Client,project,BaseModelName,EvalDataSize,C-BLEU,METEOR,ROUGE-L
JavaOnly,0,dubbo,codellama/CodeLlama-7b-Instruct-hf,108,1.6724080085583015e-232,0.009794738474853005,"{'rouge-1': {'r': 0.000925925925925926, 'p': 7.407407407407407e-05, 'f': 0.00013717419854697064}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.000925925925925926, 'p': 7.407407407407407e-05, 'f': 0.00013717419854697064}}"
JavaOnly,0,flink,codellama/CodeLlama-7b-Instruct-hf,977,2.4748562704594816e-232,0.01451469659733711,"{'rouge-1': {'r': 0.0043934370709796285, 'p': 0.0003636665751945432, 'f': 0.0006638021358076026}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.004314703113023562, 'p': 0.0003555432303260602, 'f': 0.0006490749206503529}}"
JavaOnly,1,ExoPlayer,codellama/CodeLlama-7b-Instruct-hf,285,2.0478097611995375e-232,0.006517121470823951,"{'rouge-1': {'r': 0.002547557959457273, 'p': 0.00016653238396574272, 'f': 0.00030866443809121245}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.002547557959457273, 'p': 0.00016653238396574272, 'f': 0.00030866443809121245}}"
JavaOnly,1,dagger,codellama/CodeLlama-7b-Instruct-hf,9,0,0.002354048964218456,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,1,kafka,codellama/CodeLlama-7b-Instruct-hf,327,2.1878356752619754e-232,0.0070393214551080765,"{'rouge-1': {'r': 0.0022298404601639754, 'p': 0.00021200562037981105, 'f': 0.00038299986002955774}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0022298404601639754, 'p': 0.00021200562037981105, 'f': 0.00038299986002955774}}"
JavaOnly,2,guava,codellama/CodeLlama-7b-Instruct-hf,203,2.2845957909697944e-232,0.007164337620360195,"{'rouge-1': {'r': 0.0022833898449661997, 'p': 0.00026478323951092985, 'f': 0.0004683812705658644}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0022833898449661997, 'p': 0.00026478323951092985, 'f': 0.0004683812705658644}}"
JavaOnly,2,spring-framework,codellama/CodeLlama-7b-Instruct-hf,994,2.0450343503915786e-232,0.008393799204176712,"{'rouge-1': {'r': 0.0019463852989932068, 'p': 0.00018019508158220672, 'f': 0.0003245177993919912}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0019463852989932068, 'p': 0.00018019508158220672, 'f': 0.0003245177993919912}}"
JavaOnly,2,spring-boot,codellama/CodeLlama-7b-Instruct-hf,161,2.3281457117989546e-232,0.0067662567861515996,"{'rouge-1': {'r': 0.003449423247559893, 'p': 0.00029203855558747105, 'f': 0.000534113017967616}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.003449423247559893, 'p': 0.00029203855558747105, 'f': 0.000534113017967616}}"
JavaOnly,2,spring-security,codellama/CodeLlama-7b-Instruct-hf,207,1.9770469290636815e-232,0.0074102662321253124,"{'rouge-1': {'r': 0.0018668931712409974, 'p': 0.00014679139967883908, 'f': 0.0002702167372374919}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0018668931712409974, 'p': 0.00014679139967883908, 'f': 0.0002702167372374919}}"
JavaOnly,Fed,dubbo,codellama/CodeLlama-7b-Instruct-hf,108,2.3916939577968445e-232,0.005844511007276852,"{'rouge-1': {'r': 0.0037215099715099714, 'p': 0.00030091483751896683, 'f': 0.0005560266207311779}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0037215099715099714, 'p': 0.00030091483751896683, 'f': 0.0005560266207311779}}"
JavaOnly,Fed,flink,codellama/CodeLlama-7b-Instruct-hf,977,2.7695767828233243e-232,0.00681169953558347,"{'rouge-1': {'r': 0.006086506237462755, 'p': 0.0005341012754404868, 'f': 0.0009671925902394746}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.006086506237462755, 'p': 0.0005341012754404868, 'f': 0.0009671925902394746}}"
JavaOnly,Fed,ExoPlayer,codellama/CodeLlama-7b-Instruct-hf,285,2.461044635600653e-232,0.007144808350220328,"{'rouge-1': {'r': 0.004177907862118388, 'p': 0.000347609194162188, 'f': 0.0006340544976058002}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.004177907862118388, 'p': 0.000347609194162188, 'f': 0.0006340544976058002}}"
JavaOnly,Fed,dagger,codellama/CodeLlama-7b-Instruct-hf,9,0,0.0,"{'rouge-1': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0, 'p': 0.0, 'f': 0.0}}"
JavaOnly,Fed,kafka,codellama/CodeLlama-7b-Instruct-hf,327,2.797576849199591e-232,0.0055999768509244615,"{'rouge-1': {'r': 0.006084356207739388, 'p': 0.0005810383574486469, 'f': 0.0010441429293504955}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.00593145100896263, 'p': 0.0005539754904085127, 'f': 0.000998156403402599}}"
JavaOnly,Fed,guava,codellama/CodeLlama-7b-Instruct-hf,203,2.4150522934680985e-232,0.005039719165409089,"{'rouge-1': {'r': 0.0034290647373811673, 'p': 0.0003258312696593941, 'f': 0.0005922046438366535}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0034290647373811673, 'p': 0.0003258312696593941, 'f': 0.0005922046438366535}}"
JavaOnly,Fed,spring-framework,codellama/CodeLlama-7b-Instruct-hf,994,2.117887118115468e-232,0.005629599802441748,"{'rouge-1': {'r': 0.0017260961067180737, 'p': 0.00018469183973770413, 'f': 0.00032807228845174876}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.0017260961067180737, 'p': 0.00018469183973770413, 'f': 0.00032807228845174876}}"
JavaOnly,Fed,spring-boot,codellama/CodeLlama-7b-Instruct-hf,161,2.0043675221476808e-232,0.0051685780933298005,"{'rouge-1': {'r': 0.002086738585594421, 'p': 0.0001575805602525396, 'f': 0.00028819661982094577}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.002086738585594421, 'p': 0.0001575805602525396, 'f': 0.00028819661982094577}}"
JavaOnly,Fed,spring-security,codellama/CodeLlama-7b-Instruct-hf,207,2.1458295279655118e-232,0.0052742003363129685,"{'rouge-1': {'r': 0.002355736051388225, 'p': 0.00020989484683644436, 'f': 0.0003806105429671832}, 'rouge-2': {'r': 0.0, 'p': 0.0, 'f': 0.0}, 'rouge-l': {'r': 0.002355736051388225, 'p': 0.00020989484683644436, 'f': 0.0003806105429671832}}"
